Word;Translation;Sentence;SentenceTranslation
nie;not;Nie idę do kina dzisiaj.;I'm not going to the cinema today.
to;this, it;To jest mój pies.;This is my dog.
się;oneself;Myję się codziennie rano.;I wash myself every morning.
na;on, at;Czekam na ciebie przed sklepem.;I'm waiting for you in front of the store.
co;what;Co chcesz zjeść na obiad?;What do you want to eat for dinner?
że;that;Mój brat mówi, że ma dzisiaj egzamin.;My brother says that he has an exam today.
jest;is;Ona jest studentką.;She is a student.
do;to, until;Idę do sklepu kupić jedzenie.;I'm going to the store to buy food.
tak;yes, so;Czy chcesz herbatę? - Tak, poproszę.;Do you want tea? - Yes, please.
jak;how, like;Jak masz na imię?;What's your name?
mnie;me;Ona zaprosiła mnie na swoje przyjęcie urodzinowe.;She invited me to her birthday party.
ale;but;Lubię jeść słodycze, ale nie mogę jeść ich za dużo.;I like to eat sweets, but I can't eat too many.
mi;to me;Daj mi tę książkę, proszę.;Give me that book, please.
za;for, behind;Stoję za tobą.;I'm standing behind you.
ja;I;Ja lubię czytać książki.;I like to read books.
ci;you;Chcę ci podziękować za pomoc.;I want to thank you for your help.
tu;here;Przyjdź tu jutro o 10 rano.;Come here tomorrow at 10 a.m.
go;him, it;Widziałem go wczoraj na ulicy.;I saw him on the street yesterday.
tego;this, that;Nie chcę tego ciasta.;I don't want this cake.
tym;this, that;Nie jestem pewien tym tematem.;I'm not sure about this topic.
ty;you;Czy ty masz czas na spotkanie dzisiaj?;Do you have time for a meeting today?
czy;whether, if;Nie wiem, czy to jest prawda.;I don't know whether it's true.
tylko;only;Mam tylko jedno pytanie.;I have only one question.
po;after, by;Po pracy idę do kina.;After work, I'm going to the cinema.
jestem;I am;Jestem z Polski.;I am from Poland.
cię;you;Czy mogę ci pomóc?;Can I help you?
ma;he/she/it has;Ona ma dużo obowiązków w pracy.;She has a lot of responsibilities at work.
może;maybe, can;Może pójdziemy na spacer jutro?;Maybe we'll go for a walk tomorrow?
już;already;Już zjadłem obiad.;I've already eaten lunch.
mam;I have;Mam dużo pracy do zrobienia.;I have a lot of work to do.
jesteś;you are;Czy ty jesteś gotowy na wyjście?;Are you ready to go out?
pan;sir, Mr.;Dzień dobry, panie Kowalski.;Good morning, Mr. Kowalski.
coś;something;Czy masz coś przeciwko temu?;Do you have something against it?
dla;for;Kupiłem prezent dla mojej siostry.;I bought a gift for my sister.
wiem;I know;Wiem, gdzie jesteś.;I know where you are.
dobrze;well, good;Czuję się dobrze po odpoczynku.;I feel good after resting.
jeśli;if;Jeśli będziesz potrzebował pomocy, daj mi znać.;If you need help, let me know.
od;from, since;Niedługo jestem w Polsce od dwóch lat.;I've been in Poland for two years now.
teraz;now;Teraz muszę iść do sklepu.;Now I have to go to the store.
proszę;please;Proszę, przynieś mi wodę.;Please, bring me some water.
tam;there;Idziemy tam razem?;Are we going there together?
wszystko;everything;Kupiłem wszystko, czego potrzebowałem.;I bought everything I needed.
masz;you have;Czy masz pieniądze na bilet?;Do you have money for the ticket?
więc;so, therefore;Jest późno, więc muszę iść spać.;It's late, so I have to go to sleep.
nic;nothing;Nie mam nic do zjedzenia.;I have nothing to eat.
być;to be;Chcę być szczęśliwy.;I want to be happy.
będzie;will be;Jutro będzie ładna pogoda.;Tomorrow will be nice weather.
gdzie;where;Gdzie jest toaleta?;Where is the bathroom?
są;they are;Oni są bardzo mili.;They are very nice.
cię;you;Czy mogę cię zapytać o coś?;Can I ask you something?
pan;sir, Mr.;Dzień dobry, panie Kowalski.;Good morning, Mr. Kowalski.
on;he;On jest mój przyjaciel.;He is my friend.
ten;this;Ten telefon jest bardzo drogi.;This phone is very expensive.
sobie;to oneself;Lubię czytać książki sam sobie.;I like to read books to myself.
wiesz;you know;Czy wiesz, gdzie jest sklep spożywczy?;Do you know where the grocery store is?
ze;with;Idę na spacer z moim psem.;I'm going for a walk with my dog.
jej;her;Daj jej ten prezent na urodziny.;Give her this gift for her birthday.
kiedy;when;Kiedy jesteś wolny na spotkanie?;When are you free for a meeting?
był;was;On był bardzo zmęczony po pracy.;He was very tired after work.
jeszcze;still, yet;Czy możemy zrobić to jeszcze raz?;Can we do it one more time?
nas;us;Oni zaprosili nas na ich przyjęcie.;They invited us to their party.
było;it was;Było bardzo zimno na zewnątrz.;It was very cold outside.
no;well, so;No, nie wiem, o czym mówisz.;Well, I don't know what you're talking about.
przez;through, by;Idziemy do sklepu przez park.;We're going to the store through the park.
by;in order to, to;Zrobiłem to, by pomóc ci.;I did it in order to help you.
pani;Mrs., Ms.;Dzień dobry, pani Kowalska.;Good morning, Mrs. Kowalska.
ją;her;Widziałem ją wczoraj na ulicy.;I saw her on the street yesterday.
jego;his;To jest jego samochód.;This is his car.
dlaczego;why;Dlaczego nie przyszedłeś na spotkanie?;Why didn't you come to the meeting?
żeby;so that, in order to;Zrób to, żeby było gotowe na czas.;Do it so that it's ready on time.
tutaj;here;Proszę usiąść tutaj.;Please sit here.
mamy;we have;Mamy dużo pracy do zrobienia.;We have a lot of work to do.
też;also, too;Ja też lubię tańczyć.;I also like to dance.
bo;because;Idę do kina, bo chcę zobaczyć nowy film.;I'm going to the cinema because I want to see a new movie.
